100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    237/1    0.004    0.000    1.454    1.454 {built-in method builtins.exec}
        1    0.000    0.000    1.454    1.454 game.py:1(<module>)
        1    0.001    0.001    1.041    1.041 game.py:41(main)
      500    0.002    0.000    0.905    0.002 game.py:30(game)
     1446    0.003    0.000    0.877    0.001 guesser.py:159(get_guess)
      946    0.006    0.000    0.514    0.001 guesser.py:188(subset_trie)
      946    0.003    0.000    0.503    0.001 guesser.py:42(filter_words)
185440/946    0.329    0.000    0.500    0.001 guesser.py:52(dfs)
       20    0.001    0.000    0.489    0.024 __init__.py:1(<module>)
    259/6    0.002    0.000    0.426    0.071 <frozen importlib._bootstrap>:1349(_find_and_load)
    259/6    0.001    0.000    0.426    0.071 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    253/6    0.001    0.000    0.424    0.071 <frozen importlib._bootstrap>:911(_load_unlocked)
    214/6    0.001    0.000    0.424    0.071 <frozen importlib._bootstrap_external>:989(exec_module)
   599/13    0.001    0.000    0.404    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      946    0.004    0.000    0.359    0.000 guesser.py:348(_get_guess)
      692    0.265    0.000    0.355    0.001 guesser.py:275(get_max_entropy_word)
        1    0.000    0.000    0.308    0.308 guesser.py:1(<module>)
      146    0.020    0.000    0.294    0.002 guesser.py:321(frequency_guess_non_word)
   382/16    0.000    0.000    0.217    0.014 {built-in method builtins.__import__}
   270/55    0.001    0.000    0.210    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      214    0.003    0.000    0.141    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    50789    0.051    0.000    0.137    0.000 __init__.py:595(__init__)
        1    0.000    0.000    0.123    0.123 console.py:1(<module>)
        1    0.000    0.000    0.120    0.120 guesser.py:126(__init__)
    27098    0.016    0.000    0.103    0.000 __init__.py:730(copy)
      215    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    51854    0.029    0.000    0.088    0.000 __init__.py:669(update)
        2    0.000    0.000    0.085    0.042 __init__.py:74(load)
        2    0.000    0.000    0.084    0.042 constructor.py:47(get_single_data)
        1    0.000    0.000    0.083    0.083 wordle.py:1(<module>)
  554/551    0.008    0.000    0.082    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.082    0.041 composer.py:29(get_single_node)
        2    0.000    0.000    0.082    0.041 composer.py:50(compose_document)
   1002/2    0.002    0.000    0.082    0.041 composer.py:63(compose_node)
        2    0.001    0.001    0.081    0.041 composer.py:99(compose_sequence_node)
      215    0.078    0.000    0.078    0.000 {built-in method _io.open_code}
     3012    0.002    0.000    0.074    0.000 parser.py:94(check_event)
     1002    0.002    0.000    0.072    0.000 parser.py:381(parse_block_sequence_entry)
      258    0.002    0.000    0.062    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6026    0.005    0.000    0.060    0.000 scanner.py:113(check_token)
        1    0.000    0.000    0.059    0.059 __config__.py:1(<module>)
    53844    0.054    0.000    0.058    0.000 guesser.py:112(get_matches)
      241    0.000    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      241    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      421    0.004    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
  253/250    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     2002    0.005    0.000    0.045    0.000 scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    0.044    0.044 wordle.py:5(Wordle)
    68297    0.020    0.000    0.041    0.000 {built-in method builtins.isinstance}
      951    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
